,Without OAE,Without OAE,With OAE,With OAE
,Max,Min,Max,Min
Variables,,,,
Alkalinity,2222.0,2207.0,2334.0,2326.0
CO2 flux,0.03,-2.2,-1.59,-5.23
fCO2,430.0,403.0,374.0,355.0
DIC,,,,
pH,8.017,7.997,8.095,8.074
