,Without OAE,Without OAE,With OAE,With OAE
,Max,Min,Max,Min
Variables,,,,
Alkalinity,2182.0,2152.0,3036.0,2819.0
CO2 flux,3.26,-4.91,-5.11,-21.61
fCO2,,,,
DIC,,,,
pH,8.053,7.914,8.583,8.441
