,Without OAE,Without OAE,With OAE,With OAE
,Max,Min,Max,Min
Variables,,,,
Alkalinity,2241.0,2228.0,2361.0,2355.0
CO2 flux,1.04,-3.3,-0.86,-7.23
fCO2,817.0,744.0,736.0,680.0
DIC,2154.0,2128.0,2244.0,2226.0
pH,7.776,7.746,7.84,7.822
